"","PCSA","SDI_2022_Raw","SDI_2022"
"351","05141460200",1.02857196630654,88
"352","05143010102",-1.24024231353144,6
"353","05143011001",-0.731422128389626,18
"354","05145070700",0.990323849365744,87
"355","05145070800",1.23840859614742,93
"356","06013353001",-1.65806986815818,1
"357","06001424002",0.29626971787647,59
"358","06001401300",0.727217345691177,78
"359","06001403000",1.44584078562453,97
"360","06001407200",1.51394190005005,98
"361","06001420200",-0.194998041008258,38
"362","06001428100",-0.417095190786576,29
"363","06001430900",1.01100256769567,87
"364","06001433104",0.850267157813737,82
"365","06001437300",1.10806605838296,90
"366","06001441924",0.056520513299539,48
"367","06001450743",-0.046951605879298,44
"368","06001451602",-0.796100090670823,16
"369","06005000402",-0.507185783129745,25
"370","06007000700",0.629220234725472,74
"371","06007001800",0.373816903862046,63
"372","06007002400",0.478754279794294,68
"373","06007003502",0.512609078107781,69
"374","06009000210",-0.900647126358816,13
"375","06009000300",0.188989260359371,54
"376","06009000504",-0.616545164304882,21
"377","06011000200",0.738064556690679,78
"378","06013303205",-1.37642103039942,4
"379","06013313102",0.721871112544158,78
"380","06013329000",-0.241867275388714,36
"381","06013345204",-1.86960902842593,0
"382","06013334200",-1.01823162831969,10
"383","06013343002",0.0394392812872339,48
"384","06013345108",-0.788028369465359,16
"385","06013363000",-0.156989073562356,39
"386","06013372000",0.455965204904799,67
"387","06015000104",1.30517371103515,95
"388","06017030402",1.03650397098302,88
"389","06017030803",-0.622637372748414,21
"390","06017031200",-0.134603013594472,40
"391","06019008200",1.4397372530257,97
"392","06019004002",1.42477855252922,96
"393","06019005510",0.261219533376763,58
"394","06019006603",1.06766329035251,89
"395","06019007004",1.13366402005392,90
"396","06019008100",1.24973794845645,93
"397","06019008401",1.71259623365485,99
"398","06021010100",0.682265973811477,76
"399","06023000600",0.225824557160073,56
"400","06023001101",1.05012870296452,88
"401","06023010102",0.321739876958436,60
"402","06023010901",1.01622095094455,87
"403","06023011600",1.42122035051702,96
"404","06025010600",0.778667962256713,80
"405","06025011802",0.910379305409134,84
"406","06025011803",0.33003357903515,61
"407","06025011900",0.218719051957054,56
"408","06027000400",0.0560323843742277,48
"409","06027000800",0.359208287731995,62
"410","06029001600",1.84436830460348,100
"411","06029002806",-0.143369428185488,40
"412","06029003900",0.56285213613747,71
"413","06029005004",0.71834197508576,78
"414","06029005203",0.570077214432928,72
"415","06107002700",0.0466576483261168,48
"416","06029005401",-0.154016510287551,39
"417","06029006007",-0.492685598167157,26
"418","06031001001",0.20037271767012,55
"419","06031001402",1.54841592128879,98
"420","06033000100",0.584788047429652,72
"421","06033000802",1.42887761561859,96
"422","06035040100",-0.124198550109136,41
"423","06035040305",0.0292607405319307,47
"424","06037109100",0.35263114958729,62
"425","06037115104",1.1894649712755,92
"426","06037121210",0.721643688556627,78
"427","06037123700",0.80795302207209,80
"428","06037127804",0.86496191759596,83
"429","06037134422",-1.03638351320287,10
"430","06037139401",0.276344988589044,58
"431","06037183220",0.450870484431272,67
"432","06037183701",0.94051046459374,85
"433","06037191302",0.670922823826321,76
"434","06037203500",1.67125599781925,99
"435","06037206200",1.39731274333811,96
"436","06037207103",1.32546735482068,95
"437","06037211802",1.32710322328592,95
"438","06037700802",0.314172597902843,60
"439","06037265301",-2.00717904024963,0
"440","06037300800",-0.120085665480365,41
"441","06037301801",0.945126952894161,85
"442","06037302401",0.897169671010497,84
"443","06037311600",-0.171224377059841,39
"444","06037401102",0.0775639225096448,50
"445","06037402102",-0.254372058118738,35
"446","06037406200",0.690465857573038,76
"447","06037406102",0.84533695112528,82
"448","06037406702",0.557142168027728,71
"449","06037408211",0.393758184566498,64
"450","06037500201",-0.750578509346636,17
"451","06037408628",0.357260047574431,62
"452","06037431700",-0.268131081406913,35
"453","06037463900",-0.604016624590996,22
"454","06037481711",1.15418034767254,91
"455","06037500402",0.585324385783468,72
"456","06037530004",0.0583886957579812,49
"457","06037502100",0.62965969859898,74
"458","06037501802",0.263843973766705,58
"459","06037503602",-0.85508912707665,14
"460","06037533104",1.60638473804581,99
"461","06037533107",1.6483347645015,99
"462","06037533403",1.00258697875496,87
"463","06037533806",1.20424591611414,92
"464","06037533805",1.2922525151515,94
"465","06037535802",0.813876661834149,81
"466","06037535901",1.37279891099732,96
"467","06037540201",1.7640412213029,99
"468","06037540203",1.54717935586244,98
"469","06037550901",1.29136440819953,94
"470","06037552301",0.103145974779713,51
"471","06037552700",-0.241260256306783,36
"472","06037554515",-0.62888473447003,21
"473","06037572202",0.967882536858324,86
"474","06059110108",0.207531090183257,55
"475","06059099504",-1.48161632946301,2
"476","06037599100",0.746795507879436,79
"477","06037601001",1.08347453131394,89
"478","06037602103",1.70014850962559,99
"479","06037609900",0.572091741278875,72
"480","06037651101",-0.403726907715398,29
"481","06037701602",0.511341430460882,69
"482","06037800504",-0.433939732151488,28
"483","06037900703",1.25953655997252,94
"484","06037920330",-0.116988531326909,41
"485","06039000103",-0.0710960871949781,43
"486","06039000800",1.83172246894762,100
"487","06041101200",-1.51512416896417,2
"488","06041119201",0.19052243205213,54
"489","06041126100",-1.09042606910123,9
"490","06041132200",-0.575777260817207,23
"491","06043000101",0.874647157788687,83
"492","06045010100",1.26680987998106,94
"493","06045010200",0.651597927389954,75
"494","06045011002",-0.366405995173141,31
"495","06045010500",1.53546421748519,98
"496","06045010700",0.892834723020474,84
"497","06045011200",0.714233775824249,77
"498","06045011102",-0.0913156165385431,42
"499","06045011500",0.851738991606647,82
"500","06047000304",1.03918990410638,88
"501","06047002000",0.909749197912856,84
"502","06047000701",1.16479596277414,91
"503","06047001302",1.80851460600859,100
"504","06047002100",0.718208426853413,78
"505","06049000100",0.786822119679923,80
"506","06049000400",-0.0389077480114625,45
"507","06051000200",-0.029743556820128,45
"508","06053014500",0.235911722639526,56
"509","06053011000",-0.3115856087402,33
"510","06053011102",-1.00156953905487,11
"511","06053011304",0.842413276071652,82
"512","06053011502",0.534167291904331,70
"513","06053011604",-0.0402739646350316,45
"514","06053013200",-1.21316592503605,6
"515","06053012700",-0.064151820836898,44
"516","06055200504",0.7650602525775,79
"517","06055201602",-0.648920301637447,20
"518","06057000501",0.739536859500963,78
"519","06059001706",-0.865627265327425,14
